point,criterion,cutoff,groups,merging_groups,savings_mb,savings_pct,Llama-3.1-8B-UltraMedical__baseline,Llama-3.1-8B-UltraMedical__score,Llama-3.1-8B-UltraMedical__drop,Llama-3.1-8B-UltraMedical__cutoff,Llama-3.1-8B-Instruct-multi-truth-judge__baseline,Llama-3.1-8B-Instruct-multi-truth-judge__score,Llama-3.1-8B-Instruct-multi-truth-judge__drop,Llama-3.1-8B-Instruct-multi-truth-judge__cutoff,Llama-SafetyGuard-Content-Binary__baseline,Llama-SafetyGuard-Content-Binary__score,Llama-SafetyGuard-Content-Binary__drop,Llama-SafetyGuard-Content-Binary__cutoff,calme-2.3-legalkit-8b__baseline,calme-2.3-legalkit-8b__score,calme-2.3-legalkit-8b__drop,calme-2.3-legalkit-8b__cutoff,Llama-3.1-Hawkish-8B__baseline,Llama-3.1-Hawkish-8B__score,Llama-3.1-Hawkish-8B__drop,Llama-3.1-Hawkish-8B__cutoff,Qwen2.5-Coder-7B-Instruct__baseline,Qwen2.5-Coder-7B-Instruct__score,Qwen2.5-Coder-7B-Instruct__drop,Qwen2.5-Coder-7B-Instruct__cutoff,Qwen2.5-Math-7B-Instruct__baseline,Qwen2.5-Math-7B-Instruct__score,Qwen2.5-Math-7B-Instruct__drop,Qwen2.5-Math-7B-Instruct__cutoff,mean_drop
A,unmerged reference,-1,0,0,0.0,0.0,65.0,65.0,0.0,-1,71.03,71.03,0.0,-1,88.76,88.76,0.0,-1,47.85,47.85,0.0,-1,49.12,49.12,0.0,-1,87.8,87.8,0.0,-1,90.7,90.7,0.0,-1,0.0
B,acc drop <= 1.0%,10,48,48,14267.6,12.88,65.0,64.38,0.62,10,71.03,71.66,-0.63,10,88.76,88.99,-0.23,10,47.85,47.72,0.13,10,49.12,50.88,-1.76,10,87.8,87.8,0.0,10,90.7,90.9,-0.2,10,-0.3
C,acc drop <= 2.0%,11,55,55,15350.2,13.86,65.0,63.75,1.25,11,71.03,72.28,-1.25,11,88.76,89.45,-0.69,11,47.85,47.98,-0.13,11,49.12,50.88,-1.76,11,87.8,86.59,1.21,11,90.7,90.3,0.4,11,-0.14
Bpm,per-model acc drop <= 1.0%,pm,196,196,35205.6,31.78,65.0,64.38,0.62,52,71.03,72.97,-1.94,52,88.76,91.06,-2.3,52,47.85,47.2,0.65,52,49.12,49.12,0.0,24,87.8,87.8,0.0,10,90.7,92.0,-1.3,52,-0.61
Cpm,per-model acc drop <= 2.0%,pm,197,197,35315.1,31.88,65.0,64.38,0.62,52,71.03,72.97,-1.94,52,88.76,91.06,-2.3,52,47.85,47.2,0.65,52,49.12,47.37,1.75,52,87.8,86.59,1.21,11,90.7,92.0,-1.3,52,-0.19
Kpm,"per-model knee (savings/accuracy sweet spot, <=2%)",pm,196,196,35205.6,31.78,65.0,64.38,0.62,52,71.03,72.97,-1.94,52,88.76,91.06,-2.3,52,47.85,47.2,0.65,52,49.12,49.12,0.0,24,87.8,87.8,0.0,10,90.7,92.0,-1.3,52,-0.61
