point,criterion,cutoff,groups,merging_groups,savings_mb,savings_pct,deepseek-math-7b-instruct__baseline,deepseek-math-7b-instruct__score,deepseek-math-7b-instruct__drop,deepseek-math-7b-instruct__cutoff,deepseek-coder-7b-instruct-v1.5__baseline,deepseek-coder-7b-instruct-v1.5__score,deepseek-coder-7b-instruct-v1.5__drop,deepseek-coder-7b-instruct-v1.5__cutoff,mean_drop
A,unmerged reference,-1,0,0,0.0,0.0,80.4,80.4,0.0,-1,74.39,74.39,0.0,-1,0.0
B,acc drop <= 1.0%,12,18,18,1109.7,4.01,80.4,79.7,0.7,12,74.39,75.61,-1.22,12,-0.26
C,acc drop <= 2.0%,15,21,21,1210.0,4.38,80.4,78.9,1.5,15,74.39,74.39,0.0,15,0.75
Bpm,per-model acc drop <= 1.0%,pm,18,18,1109.7,4.01,80.4,79.7,0.7,12,74.39,74.39,0.0,15,0.35
Cpm,per-model acc drop <= 2.0%,pm,21,21,1210.0,4.38,80.4,78.9,1.5,15,74.39,74.39,0.0,15,0.75
Kpm,"per-model knee (savings/accuracy sweet spot, <=2%)",pm,16,16,1042.8,3.77,80.4,80.0,0.4,10,74.39,74.39,0.0,15,0.2
