point,criterion,cutoff,groups,merging_groups,savings_mb,savings_pct,Llama-3.1-8B-UltraMedical__baseline,Llama-3.1-8B-UltraMedical__score,Llama-3.1-8B-UltraMedical__drop,Llama-3.1-8B-UltraMedical__cutoff,Llama-3.1-8B-Instruct-multi-truth-judge__baseline,Llama-3.1-8B-Instruct-multi-truth-judge__score,Llama-3.1-8B-Instruct-multi-truth-judge__drop,Llama-3.1-8B-Instruct-multi-truth-judge__cutoff,Llama-SafetyGuard-Content-Binary__baseline,Llama-SafetyGuard-Content-Binary__score,Llama-SafetyGuard-Content-Binary__drop,Llama-SafetyGuard-Content-Binary__cutoff,calme-2.3-legalkit-8b__baseline,calme-2.3-legalkit-8b__score,calme-2.3-legalkit-8b__drop,calme-2.3-legalkit-8b__cutoff,Llama-3.1-Hawkish-8B__baseline,Llama-3.1-Hawkish-8B__score,Llama-3.1-Hawkish-8B__drop,Llama-3.1-Hawkish-8B__cutoff,mean_drop
A,unmerged reference,-1,0,0,0.0,0.0,65.0,65.0,0.0,-1,71.03,71.03,0.0,-1,88.76,88.76,0.0,-1,47.85,47.85,0.0,-1,49.12,49.12,0.0,-1,0.0
B,acc drop <= 1.0%,23,87,87,27816.6,34.64,65.0,64.38,0.62,23,71.03,76.2,-5.17,23,88.76,88.99,-0.23,23,47.85,47.98,-0.13,23,49.12,49.12,0.0,23,-0.98
C,acc drop <= 2.0%,52,184,184,34762.4,43.29,65.0,64.38,0.62,52,71.03,72.97,-1.94,52,88.76,91.06,-2.3,52,47.85,47.2,0.65,52,49.12,47.37,1.75,52,-0.24
Bpm,per-model acc drop <= 1.0%,pm,184,184,34678.5,43.18,65.0,64.38,0.62,52,71.03,72.97,-1.94,52,88.76,91.06,-2.3,52,47.85,47.2,0.65,52,49.12,49.12,0.0,24,-0.59
Cpm,per-model acc drop <= 2.0%,pm,184,184,34762.4,43.29,65.0,64.38,0.62,52,71.03,72.97,-1.94,52,88.76,91.06,-2.3,52,47.85,47.2,0.65,52,49.12,47.37,1.75,52,-0.24
Kpm,"per-model knee (savings/accuracy sweet spot, <=2%)",pm,184,184,34678.5,43.18,65.0,64.38,0.62,52,71.03,72.97,-1.94,52,88.76,91.06,-2.3,52,47.85,47.2,0.65,52,49.12,49.12,0.0,24,-0.59
P,mem savings ~ 35.2%,24,91,91,28336.7,35.29,65.0,63.75,1.25,24,71.03,76.25,-5.22,24,88.76,88.99,-0.23,24,47.85,48.63,-0.78,24,49.12,49.12,0.0,24,-1.0
