timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T08:09:53.206388+00:00,-1,0,baseline,baseline,-1,T-pro-it-2.0,75.2,0.0,baseline,False
2026-07-13T08:12:11.363606+00:00,0,1,merge,mlp,15,T-pro-it-2.0,74.8,2.0,accepted,False
2026-07-13T08:15:36.124724+00:00,1,1,merge,mlp,17,T-pro-it-2.0,75.4,2.0,accepted,False
2026-07-13T08:16:35.103814+00:00,2,1,merge,mlp,13,T-pro-it-2.0,75.1,2.0,accepted,False
2026-07-13T08:17:25.781185+00:00,3,1,merge,mlp,19,T-pro-it-2.0,75.6,2.0,accepted,False
2026-07-13T08:18:14.785581+00:00,4,1,merge,mlp,11,T-pro-it-2.0,75.3,2.0,accepted,False
2026-07-13T08:19:03.813089+00:00,5,1,merge,mlp,21,T-pro-it-2.0,75.0,2.0,accepted,False
2026-07-13T08:19:59.583545+00:00,6,1,merge,mlp,8,T-pro-it-2.0,74.9,2.0,accepted,False
2026-07-13T08:20:52.505035+00:00,7,1,merge,mlp,24,T-pro-it-2.0,75.0,2.0,accepted,False
2026-07-13T08:21:41.552098+00:00,8,1,merge,mlp,26,T-pro-it-2.0,75.4,2.0,accepted,False
2026-07-13T08:22:36.228912+00:00,9,1,merge,mlp,3,T-pro-it-2.0,75.2,2.0,accepted,False
2026-07-13T08:23:32.355736+00:00,10,1,merge,mlp,28,T-pro-it-2.0,75.2,2.0,accepted,False
2026-07-13T08:24:21.970358+00:00,11,1,merge,mlp,30,T-pro-it-2.0,75.2,2.0,accepted,False
2026-07-13T08:25:09.742722+00:00,12,1,merge,mlp,39,T-pro-it-2.0,75.2,2.0,accepted,False
2026-07-13T08:25:57.289183+00:00,13,1,merge,mlp,41,T-pro-it-2.0,75.4,2.0,accepted,False
2026-07-13T08:26:45.172413+00:00,14,1,merge,mlp,44,T-pro-it-2.0,76.1,2.0,accepted,False
2026-07-13T08:27:33.489568+00:00,15,1,merge,mlp,46,T-pro-it-2.0,75.8,2.0,accepted,False
2026-07-13T08:28:27.033124+00:00,16,1,merge,mlp,48,T-pro-it-2.0,76.0,2.0,accepted,False
2026-07-13T08:29:15.936544+00:00,17,1,merge,mlp,50,T-pro-it-2.0,76.1,2.0,accepted,False
2026-07-13T08:30:03.886797+00:00,18,1,merge,mlp,52,T-pro-it-2.0,76.5,2.0,accepted,False
