timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision
2026-03-27T15:13:26.056779+00:00,45,1,merge,attn,24,calme-2.3-legalkit-8b,1.28,2.0,rejected
2026-03-27T15:15:37.472249+00:00,46,1,merge,attn,29,calme-2.3-legalkit-8b,49.93,2.0,accepted
2026-03-27T15:17:50.064322+00:00,47,1,merge,attn,23,calme-2.3-legalkit-8b,49.74,2.0,accepted
2026-03-27T15:20:03.438026+00:00,48,1,merge,attn,21,calme-2.3-legalkit-8b,50.13,2.0,accepted
2026-03-27T15:22:17.011983+00:00,49,1,merge,attn,17,calme-2.3-legalkit-8b,49.87,2.0,accepted
2026-03-27T15:24:27.911748+00:00,50,1,merge,attn,15,calme-2.3-legalkit-8b,49.87,2.0,accepted
2026-03-27T15:26:56.018509+00:00,51,1,merge,attn,9,calme-2.3-legalkit-8b,49.61,2.0,accepted
2026-03-27T15:29:21.562607+00:00,52,1,merge,attn,13,calme-2.3-legalkit-8b,49.74,2.0,accepted
2026-03-27T15:31:48.142223+00:00,53,1,merge,attn,11,calme-2.3-legalkit-8b,50.2,2.0,accepted
2026-03-27T15:34:14.933205+00:00,54,1,merge,attn,19,calme-2.3-legalkit-8b,50.26,2.0,accepted
2026-03-27T15:36:57.868805+00:00,55,1,merge,attn,7,calme-2.3-legalkit-8b,50.07,2.0,accepted
2026-03-27T15:39:40.975328+00:00,56,1,merge,attn,5,calme-2.3-legalkit-8b,49.74,2.0,accepted
2026-03-27T15:42:07.126966+00:00,57,1,merge,attn,3,calme-2.3-legalkit-8b,49.8,2.0,accepted
2026-03-27T15:44:39.814434+00:00,58,2,merge,mlp,12,calme-2.3-legalkit-8b,49.8,2.0,accepted
2026-03-27T15:47:06.516864+00:00,59,2,merge,mlp,25,calme-2.3-legalkit-8b,50.07,2.0,accepted
2026-03-27T15:49:32.225939+00:00,60,2,merge,mlp,8,calme-2.3-legalkit-8b,49.22,2.0,accepted
2026-03-27T15:51:58.104846+00:00,61,2,merge,mlp,10,calme-2.3-legalkit-8b,48.76,2.0,accepted
2026-03-27T15:54:22.322514+00:00,62,2,merge,mlp,23,calme-2.3-legalkit-8b,48.5,2.0,accepted
2026-03-27T15:56:51.497367+00:00,63,2,merge,mlp,4,calme-2.3-legalkit-8b,1.27,2.0,rejected
2026-03-27T15:59:19.319604+00:00,64,2,merge,mlp,6,calme-2.3-legalkit-8b,46.48,2.0,rejected
2026-03-27T16:01:45.686926+00:00,65,2,merge,mlp,2,calme-2.3-legalkit-8b,45.83,2.0,rejected
2026-03-27T16:04:11.398698+00:00,66,2,merge,mlp,18,calme-2.3-legalkit-8b,48.5,2.0,accepted
2026-03-27T16:06:38.061175+00:00,67,2,merge,mlp,15,calme-2.3-legalkit-8b,48.76,2.0,accepted
2026-03-27T16:09:03.440835+00:00,68,2,merge,mlp,26,calme-2.3-legalkit-8b,48.57,2.0,accepted
2026-03-27T16:11:28.821494+00:00,69,2,merge,mlp,11,calme-2.3-legalkit-8b,46.54,2.0,accepted
2026-03-27T16:13:54.744457+00:00,70,2,merge,mlp,7,calme-2.3-legalkit-8b,45.18,2.0,accepted
2026-03-27T16:16:19.084992+00:00,71,2,merge,mlp,16,calme-2.3-legalkit-8b,44.78,2.0,accepted
2026-03-27T16:18:44.859716+00:00,72,2,merge,attn,18,calme-2.3-legalkit-8b,45.11,2.0,accepted
2026-03-27T16:21:09.774857+00:00,73,2,merge,attn,12,calme-2.3-legalkit-8b,44.26,2.0,accepted
2026-03-27T16:23:33.038641+00:00,74,2,merge,attn,4,calme-2.3-legalkit-8b,42.44,2.0,accepted
2026-03-27T16:25:56.259852+00:00,75,2,merge,attn,16,calme-2.3-legalkit-8b,41.33,2.0,accepted
2026-03-27T16:28:22.518086+00:00,76,2,merge,attn,9,calme-2.3-legalkit-8b,39.44,2.0,accepted
2026-03-27T16:30:45.560299+00:00,77,2,merge,attn,13,calme-2.3-legalkit-8b,38.53,2.0,accepted
2026-03-27T16:33:14.737883+00:00,78,2,merge,attn,11,calme-2.3-legalkit-8b,36.77,2.0,accepted
2026-03-27T16:35:38.396457+00:00,79,2,merge,attn,3,calme-2.3-legalkit-8b,36.7,2.0,accepted
