timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision
2026-03-27T14:43:15.882210+00:00,48,1,merge,attn,17,Llama-SafetyGuard-Content-Binary,88.88,2.0,accepted
2026-03-27T14:44:52.327878+00:00,49,1,merge,attn,15,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted
2026-03-27T14:46:21.048695+00:00,50,1,merge,attn,9,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted
2026-03-27T14:47:43.032634+00:00,51,1,merge,attn,13,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted
2026-03-27T14:49:12.389613+00:00,52,1,merge,attn,11,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted
2026-03-27T14:50:37.279249+00:00,53,1,merge,attn,19,Llama-SafetyGuard-Content-Binary,89.11,2.0,accepted
2026-03-27T14:51:59.896174+00:00,54,1,merge,attn,5,Llama-SafetyGuard-Content-Binary,89.45,2.0,accepted
2026-03-27T14:53:24.835373+00:00,55,2,merge,mlp,12,Llama-SafetyGuard-Content-Binary,89.45,2.0,accepted
2026-03-27T14:54:52.622809+00:00,56,2,merge,mlp,25,Llama-SafetyGuard-Content-Binary,89.91,2.0,accepted
2026-03-27T14:56:17.341622+00:00,57,2,merge,mlp,8,Llama-SafetyGuard-Content-Binary,89.79,2.0,accepted
2026-03-27T14:57:44.405857+00:00,58,2,merge,mlp,10,Llama-SafetyGuard-Content-Binary,90.14,2.0,accepted
2026-03-27T14:59:11.312043+00:00,59,2,merge,mlp,23,Llama-SafetyGuard-Content-Binary,90.02,2.0,accepted
2026-03-27T15:00:35.485536+00:00,60,2,merge,mlp,4,Llama-SafetyGuard-Content-Binary,90.25,2.0,accepted
2026-03-27T15:02:01.269942+00:00,61,2,merge,mlp,6,Llama-SafetyGuard-Content-Binary,90.25,2.0,accepted
2026-03-27T15:03:24.678930+00:00,62,2,merge,mlp,18,Llama-SafetyGuard-Content-Binary,90.02,2.0,accepted
