cutoff,steps,savings_pct,savings_mb,worst_drop,mean_drop,accuracy_metric,accuracy_drop,accuracy,frontier,Llama-3.1-8B-Instruct-multi-truth-judge__score,Llama-3.1-8B-UltraMedical__score,Llama-3.1-Hawkish-8B__score,Llama-SafetyGuard-Content-Binary__score,calme-2.3-legalkit-8b__score,deepseek-coder-7b-instruct-v1.5__score,deepseek-math-7b-instruct__score,Llama-3.1-8B-Instruct-multi-truth-judge__drop,Llama-3.1-8B-UltraMedical__drop,Llama-3.1-Hawkish-8B__drop,Llama-SafetyGuard-Content-Binary__drop,calme-2.3-legalkit-8b__drop,deepseek-coder-7b-instruct-v1.5__drop,deepseek-math-7b-instruct__drop
41,41,32.2232,34783.052,6.0,1.9371,mean,1.9371,-1.9371,1,73.74,63.75,43.86,90.14,47.59,70.73,74.1,-2.71,1.25,5.26,-1.38,0.26,4.88,6.0
42,42,32.3783,34950.496,6.0,1.9614,mean,1.9614,-1.9614,1,73.7,63.75,43.86,90.14,47.46,70.73,74.1,-2.67,1.25,5.26,-1.38,0.39,4.88,6.0
43,43,32.5334,35117.908,6.0,1.9829,mean,1.9829,-1.9829,1,73.81,63.75,43.86,90.14,47.2,70.73,74.1,-2.78,1.25,5.26,-1.38,0.65,4.88,6.0
44,44,32.6883,35285.123,6.0,2.0443,mean,2.0443,-2.0443,0,73.35,63.75,43.86,89.91,47.46,70.73,74.1,-2.32,1.25,5.26,-1.15,0.39,4.88,6.0
45,45,32.8432,35452.273,6.0,2.0629,mean,2.0629,-2.0629,0,73.48,63.75,43.86,89.91,47.2,70.73,74.1,-2.45,1.25,5.26,-1.15,0.65,4.88,6.0
46,46,32.9207,35535.995,6.0,2.0129,mean,2.0129,-2.0129,1,73.6,63.75,43.86,90.14,47.2,70.73,74.1,-2.57,1.25,5.26,-1.38,0.65,4.88,6.0
47,47,32.9983,35619.717,6.0,2.1957,mean,2.1957,-2.1957,0,72.78,63.75,43.86,89.68,47.2,70.73,74.1,-1.75,1.25,5.26,-0.92,0.65,4.88,6.0
48,48,33.0759,35703.439,6.0,2.1643,mean,2.1643,-2.1643,0,72.77,63.75,43.86,89.91,47.2,70.73,74.1,-1.74,1.25,5.26,-1.15,0.65,4.88,6.0
49,49,33.1533,35786.998,6.0,2.1043,mean,2.1043,-2.1043,0,72.5,63.75,43.86,90.6,47.2,70.73,74.1,-1.47,1.25,5.26,-1.84,0.65,4.88,6.0
50,50,33.2307,35870.556,6.0,2.0871,mean,2.0871,-2.0871,0,72.16,63.75,43.86,91.06,47.2,70.73,74.1,-1.13,1.25,5.26,-2.3,0.65,4.88,6.0
51,51,33.3081,35954.115,6.0,2.0514,mean,2.0514,-2.0514,1,72.19,63.75,43.86,91.28,47.2,70.73,74.1,-1.16,1.25,5.26,-2.52,0.65,4.88,6.0
52,52,33.3855,36037.673,6.0,2.0586,mean,2.0586,-2.0586,1,72.14,63.75,43.86,91.28,47.2,70.73,74.1,-1.11,1.25,5.26,-2.52,0.65,4.88,6.0
53,53,33.4165,36071.162,6.0,2.0871,mean,2.0871,-2.0871,1,71.94,63.75,43.86,91.28,47.2,70.73,74.1,-0.91,1.25,5.26,-2.52,0.65,4.88,6.0
54,54,33.4786,36138.14,6.0,2.1186,mean,2.1186,-2.1186,1,71.72,63.75,43.86,91.28,47.2,70.73,74.1,-0.69,1.25,5.26,-2.52,0.65,4.88,6.0
55,55,33.5406,36205.117,6.0,2.1271,mean,2.1271,-2.1271,1,71.66,63.75,43.86,91.28,47.2,70.73,74.1,-0.63,1.25,5.26,-2.52,0.65,4.88,6.0
