point,criterion,cutoff,groups,merging_groups,savings_mb,savings_pct,Llama-3.1-8B-UltraMedical__baseline,Llama-3.1-8B-UltraMedical__score,Llama-3.1-8B-UltraMedical__drop,Llama-3.1-8B-UltraMedical__cutoff,Llama-3.1-8B-Instruct-multi-truth-judge__baseline,Llama-3.1-8B-Instruct-multi-truth-judge__score,Llama-3.1-8B-Instruct-multi-truth-judge__drop,Llama-3.1-8B-Instruct-multi-truth-judge__cutoff,Llama-SafetyGuard-Content-Binary__baseline,Llama-SafetyGuard-Content-Binary__score,Llama-SafetyGuard-Content-Binary__drop,Llama-SafetyGuard-Content-Binary__cutoff,calme-2.3-legalkit-8b__baseline,calme-2.3-legalkit-8b__score,calme-2.3-legalkit-8b__drop,calme-2.3-legalkit-8b__cutoff,Llama-3.1-Hawkish-8B__baseline,Llama-3.1-Hawkish-8B__score,Llama-3.1-Hawkish-8B__drop,Llama-3.1-Hawkish-8B__cutoff,deepseek-math-7b-instruct__baseline,deepseek-math-7b-instruct__score,deepseek-math-7b-instruct__drop,deepseek-math-7b-instruct__cutoff,deepseek-coder-7b-instruct-v1.5__baseline,deepseek-coder-7b-instruct-v1.5__score,deepseek-coder-7b-instruct-v1.5__drop,deepseek-coder-7b-instruct-v1.5__cutoff,mean_drop
A,unmerged reference,-1,0,0,0.0,0.0,65.0,65.0,0.0,-1,71.03,71.03,0.0,-1,88.76,88.76,0.0,-1,47.85,47.85,0.0,-1,49.12,49.12,0.0,-1,80.1,80.1,0.0,-1,75.61,75.61,0.0,-1,0.0
B,acc drop <= 1.0%,5,23,23,8889.3,8.24,65.0,65.0,0.0,5,71.03,70.75,0.28,5,88.76,88.76,0.0,5,47.85,47.2,0.65,5,49.12,50.88,-1.76,5,80.1,80.4,-0.3,5,75.61,75.61,0.0,5,-0.16
C,acc drop <= 2.0%,13,72,72,18611.0,17.24,65.0,63.75,1.25,13,71.03,73.19,-2.16,13,88.76,88.76,0.0,13,47.85,47.07,0.78,13,49.12,47.37,1.75,13,80.1,78.9,1.2,13,75.61,75.61,0.0,13,0.4
Bpm,per-model acc drop <= 1.0%,pm,207,207,35753.1,33.12,65.0,64.38,0.62,40,71.03,71.66,-0.63,55,88.76,91.28,-2.52,55,47.85,47.2,0.65,55,49.12,49.12,0.0,22,80.1,79.5,0.6,18,75.61,76.83,-1.22,14,-0.36
Cpm,per-model acc drop <= 2.0%,pm,207,207,36104.7,33.45,65.0,63.75,1.25,55,71.03,71.66,-0.63,55,88.76,91.28,-2.52,55,47.85,47.2,0.65,55,49.12,47.37,1.75,26,80.1,78.3,1.8,21,75.61,76.83,-1.22,14,0.15
Kpm,"per-model knee (savings/accuracy sweet spot, <=2%)",pm,207,207,35753.1,33.12,65.0,64.38,0.62,40,71.03,71.66,-0.63,55,88.76,91.28,-2.52,55,47.85,47.2,0.65,55,49.12,49.12,0.0,22,80.1,79.5,0.6,18,75.61,76.83,-1.22,14,-0.36
P,mem savings ~ 26.7%,23,115,115,29210.3,27.06,65.0,64.38,0.62,23,71.03,76.66,-5.63,23,88.76,88.99,-0.23,23,47.85,48.11,-0.26,23,49.12,47.37,1.75,23,80.1,74.5,5.6,23,75.61,70.73,4.88,23,0.96
