op,component,layer,models
merge,attn_v,18,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,attn_o,18,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_gate,18,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_up,18,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_down,18,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,attn_q,13,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_k,13,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_v,13,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_o,13,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,mlp_gate,13,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,mlp_up,13,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,mlp_down,13,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_q,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,attn_k,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,attn_v,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,attn_o,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,mlp_gate,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,mlp_up,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,mlp_down,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,attn_q,30,"Llama-3.1-8B-Instruct-multi-truth-judge:29,Llama-3.1-8B-UltraMedical:30,Llama-SafetyGuard-Content-Binary:30,calme-2.3-legalkit-8b:30"
merge,attn_k,30,"Llama-3.1-8B-Instruct-multi-truth-judge:29,Llama-3.1-8B-UltraMedical:30,Llama-SafetyGuard-Content-Binary:30,calme-2.3-legalkit-8b:30"
