model,layer,component,mean,std,shape,avgable,replaceable
Llama-3.1-8B-UltraMedical,28,layer_full,0.30523842656587713,0.5512506671568829,layer_full,True,False
Llama-3.1-8B-UltraMedical,29,layer_full,0.011959638634504523,0.8768957393488359,layer_full,True,True
Llama-3.1-8B-UltraMedical,30,layer_full,-0.4507706376884588,1.250254489818601,layer_full,True,True
Llama-3.1-8B-UltraMedical,31,layer_full,-1.7577758697230268,3.761499091367149,layer_full,True,True
Llama-3.1-Hawkish-8B,14,layer_full,-1.3881234112296847,-0.8782228877256957,layer_full,True,False
Llama-3.1-Hawkish-8B,15,layer_full,-1.9734407098512086,-0.40182522065194565,layer_full,True,False
Llama-3.1-Hawkish-8B,18,layer_full,1.563020050873371,-0.4321931670994917,layer_full,True,True
Llama-3.1-Hawkish-8B,19,layer_full,-0.021090584364239304,-0.4624419106873485,layer_full,True,True
Llama-3.1-Hawkish-8B,20,layer_full,-0.6027899520416865,-0.49270256073341095,layer_full,True,True
Llama-3.1-Hawkish-8B,21,layer_full,0.37817996353432787,-0.39353970193128496,layer_full,True,True
Llama-3.1-Hawkish-8B,22,layer_full,0.1279260469800099,-0.44704150520310726,layer_full,True,True
Llama-3.1-Hawkish-8B,23,layer_full,0.39285756858053966,-0.3576372862564546,layer_full,True,True
Llama-3.1-Hawkish-8B,24,layer_full,0.13759264126145881,-0.32179105566437133,layer_full,True,True
Llama-3.1-Hawkish-8B,25,layer_full,0.8177270865120221,-0.232351387102073,layer_full,True,True
Llama-3.1-Hawkish-8B,26,layer_full,0.44142624775704464,0.002074706631705353,layer_full,True,True
Llama-3.1-Hawkish-8B,27,layer_full,0.6571410081834895,0.17828715379732094,layer_full,True,True
Llama-3.1-Hawkish-8B,28,layer_full,0.7676833714808285,0.2802335952843876,layer_full,True,True
Llama-3.1-Hawkish-8B,29,layer_full,0.42609841409787375,0.5946676026078453,layer_full,True,True
Llama-3.1-Hawkish-8B,31,layer_full,-1.7242077417741444,3.3644836247338987,layer_full,True,True
Llama-SafetyGuard-Content-Binary,5,layer_full,1.5710403142716833,-0.9289237476899203,layer_full,True,False
Llama-SafetyGuard-Content-Binary,6,layer_full,2.2568482822524865,-0.767344726198963,layer_full,True,False
Llama-SafetyGuard-Content-Binary,8,layer_full,0.8509391242642295,-0.9043055097058096,layer_full,True,False
Llama-SafetyGuard-Content-Binary,9,layer_full,1.1268246065511505,-0.6224018148505449,layer_full,True,False
