timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:38:08.703817,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,20,mlp,avg,50.72,P
2026-07-13T04:38:29.118825,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,21,attn,avg,50.98,P
2026-07-13T04:38:49.772700,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,21,mlp,avg,50.59,P
2026-07-13T04:39:10.351759,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,22,attn,avg,51.11,P
2026-07-13T04:39:30.838224,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,22,mlp,avg,51.63,P
2026-07-13T04:39:51.439572,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,23,attn,avg,51.63,P
2026-07-13T04:40:11.858814,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,23,mlp,avg,51.11,P
2026-07-13T04:40:32.357983,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,24,attn,avg,50.98,P
2026-07-13T04:40:52.932088,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,24,mlp,avg,51.11,P
2026-07-13T04:41:13.394112,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,25,attn,avg,50.85,P
2026-07-13T04:41:33.981968,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,25,mlp,avg,50.59,P
2026-07-13T04:41:54.489837,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,26,attn,avg,50.85,P
2026-07-13T04:42:15.040486,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,26,mlp,avg,51.37,P
2026-07-13T04:42:35.499099,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,27,attn,avg,51.11,P
2026-07-13T04:42:55.958797,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,27,mlp,avg,50.33,P
2026-07-13T04:43:16.478008,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,28,attn,avg,50.98,P
2026-07-13T04:43:36.948950,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,28,mlp,avg,51.11,P
2026-07-13T04:43:57.385266,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,29,attn,avg,50.98,P
2026-07-13T04:44:17.854684,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,29,mlp,avg,51.24,P
2026-07-13T04:44:38.295254,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,30,attn,avg,51.5,P
2026-07-13T04:44:58.786234,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,30,mlp,avg,45.11,P
2026-07-13T04:45:19.281409,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,31,attn,avg,49.8,P
2026-07-13T04:45:39.749408,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,31,mlp,avg,49.41,P
