timestamp,model,task,layer,variant,perturbation,score,split
2026-07-12T17:07:47.815409,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,14,attn,avg,77.36,P
2026-07-12T17:10:52.152734,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,14,mlp,avg,78.46,P
2026-07-12T17:13:56.581580,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,15,attn,avg,77.83,P
2026-07-12T17:17:01.227889,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,15,mlp,avg,78.14,P
2026-07-12T17:20:05.729843,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,16,attn,avg,76.57,P
2026-07-12T17:23:10.173309,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,16,mlp,avg,77.36,P
2026-07-12T17:26:14.717758,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,17,attn,avg,77.83,P
2026-07-12T17:29:19.212969,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,17,mlp,avg,77.67,P
2026-07-12T17:32:23.853365,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,18,attn,avg,77.36,P
2026-07-12T17:35:28.572453,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,18,mlp,avg,78.77,P
