timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision
2026-03-27T14:37:27.530374+00:00,43,1,merge,attn,17,Llama-3.1-8B-UltraMedical,77.21,2.0,accepted
2026-03-27T14:39:07.267793+00:00,44,1,merge,attn,15,Llama-3.1-8B-UltraMedical,77.21,2.0,accepted
2026-03-27T14:40:48.577265+00:00,45,1,merge,attn,9,Llama-3.1-8B-UltraMedical,77.94,2.0,accepted
2026-03-27T14:42:30.122371+00:00,46,1,merge,attn,13,Llama-3.1-8B-UltraMedical,77.94,2.0,accepted
2026-03-27T14:44:10.264319+00:00,47,1,merge,attn,11,Llama-3.1-8B-UltraMedical,78.31,2.0,accepted
2026-03-27T14:45:51.165366+00:00,48,1,merge,attn,19,Llama-3.1-8B-UltraMedical,78.31,2.0,accepted
2026-03-27T14:47:21.202371+00:00,49,1,merge,attn,7,Llama-3.1-8B-UltraMedical,78.68,2.0,accepted
2026-03-27T14:48:54.611215+00:00,50,2,merge,mlp,12,Llama-3.1-8B-UltraMedical,78.68,2.0,accepted
2026-03-27T14:50:26.033744+00:00,51,2,merge,mlp,27,Llama-3.1-8B-UltraMedical,78.31,2.0,accepted
2026-03-27T14:51:55.122074+00:00,52,2,merge,mlp,10,Llama-3.1-8B-UltraMedical,75.74,2.0,accepted
2026-03-27T14:53:23.997030+00:00,53,2,merge,mlp,23,Llama-3.1-8B-UltraMedical,2.63,2.0,rejected
2026-03-27T14:54:54.002203+00:00,54,2,merge,mlp,18,Llama-3.1-8B-UltraMedical,75.74,2.0,accepted
2026-03-27T14:56:21.355060+00:00,55,2,merge,mlp,13,Llama-3.1-8B-UltraMedical,75.37,2.0,accepted
2026-03-27T14:57:48.889515+00:00,56,2,merge,mlp,21,Llama-3.1-8B-UltraMedical,73.16,2.0,rejected
2026-03-27T14:59:15.333834+00:00,57,2,merge,mlp,28,Llama-3.1-8B-UltraMedical,2.63,2.0,rejected
2026-03-27T15:00:43.748880+00:00,58,2,merge,mlp,15,Llama-3.1-8B-UltraMedical,72.06,2.0,rejected
2026-03-27T15:02:12.430040+00:00,59,2,merge,mlp,26,Llama-3.1-8B-UltraMedical,74.26,2.0,accepted
2026-03-27T15:03:42.993619+00:00,60,2,merge,mlp,11,Llama-3.1-8B-UltraMedical,69.12,2.0,rejected
2026-03-27T15:05:10.587401+00:00,61,2,merge,mlp,7,Llama-3.1-8B-UltraMedical,62.13,2.0,rejected
2026-03-27T15:06:36.604349+00:00,62,2,merge,mlp,19,Llama-3.1-8B-UltraMedical,2.63,2.0,rejected
2026-03-27T15:08:02.660960+00:00,63,2,merge,mlp,16,Llama-3.1-8B-UltraMedical,72.43,2.0,accepted
2026-03-27T15:09:31.746550+00:00,64,2,merge,attn,22,Llama-3.1-8B-UltraMedical,73.16,2.0,accepted
2026-03-27T15:10:59.780107+00:00,65,2,merge,attn,14,Llama-3.1-8B-UltraMedical,70.22,2.0,rejected
2026-03-27T15:12:26.242780+00:00,66,2,merge,attn,4,Llama-3.1-8B-UltraMedical,71.69,2.0,accepted
2026-03-27T15:13:55.173895+00:00,67,2,merge,attn,15,Llama-3.1-8B-UltraMedical,70.59,2.0,accepted
2026-03-27T15:15:23.135244+00:00,68,2,merge,attn,9,Llama-3.1-8B-UltraMedical,57.35,2.0,rejected
2026-03-27T15:16:51.034668+00:00,69,2,merge,attn,13,Llama-3.1-8B-UltraMedical,71.32,2.0,accepted
2026-03-27T15:18:18.581626+00:00,70,2,merge,attn,11,Llama-3.1-8B-UltraMedical,70.96,2.0,accepted
2026-03-27T15:19:48.319753+00:00,71,2,merge,attn,19,Llama-3.1-8B-UltraMedical,71.32,2.0,accepted
